mous_uid,eb_uid,setup_signature,actual_n_spws,actual_cont_spws,actual_total_nchan,science_interval_median_s,actual_antenna_count,fiducial_nant,array_type,data_rate_gbps,listobs_path
uid___A001_X3788_X52a5,uid___A002_X125ea86_X44f5,"[CONT,CONT,CONT,WC]",4,3,864,6.05,47,43,12m,0.0010316588429752067,/Users/briantest/Code/alma/big-cubes/ryanCy11/uid___A001_X3788_X52a5/listobs/sessionsession_1__uid___A002_X125ea86_X44f5_targets.ms__listobs.txt
uid___A001_X3788_X52a5,uid___A002_X1264cde_X2533,"[CONT,CONT,CONT,WC]",4,3,864,6.05,46,43,12m,0.0010316588429752067,/Users/briantest/Code/alma/big-cubes/ryanCy11/uid___A001_X3788_X52a5/listobs/sessionsession_2__uid___A002_X1264cde_X2533_targets.ms__listobs.txt
uid___A001_X3788_X52a5,uid___A002_X1264cde_X2b98,"[CONT,CONT,CONT,WC]",4,3,864,6.05,46,43,12m,0.0010316588429752067,/Users/briantest/Code/alma/big-cubes/ryanCy11/uid___A001_X3788_X52a5/listobs/sessionsession_2__uid___A002_X1264cde_X2b98_targets.ms__listobs.txt
uid___A001_X3788_X52a9,uid___A002_X1266d2b_X142c,"[CONT,CONT,CONT,WC]",4,3,864,6.05,45,43,12m,0.0010316588429752067,/Users/briantest/Code/alma/big-cubes/ryanCy11/uid___A001_X3788_X52a9/listobs/sessionsession_2__uid___A002_X1266d2b_X142c_targets.ms__listobs.txt
uid___A001_X3788_X52a9,uid___A002_X1266d2b_X906,"[CONT,CONT,CONT,WC]",4,3,864,6.05,45,43,12m,0.0010316588429752067,/Users/briantest/Code/alma/big-cubes/ryanCy11/uid___A001_X3788_X52a9/listobs/sessionsession_1__uid___A002_X1266d2b_X906_targets.ms__listobs.txt
uid___A001_X3788_X52a9,uid___A002_X126787e_X2fd,"[CONT,CONT,CONT,WC]",4,3,864,6.05,46,43,12m,0.0010316588429752067,/Users/briantest/Code/alma/big-cubes/ryanCy11/uid___A001_X3788_X52a9/listobs/sessionsession_3__uid___A002_X126787e_X2fd_targets.ms__listobs.txt
uid___A001_X3788_X52ad,uid___A002_X1264cde_Xb4c8,"[CONT,CONT,CONT,WC]",4,3,864,6.05,47,43,12m,0.0010316588429752067,/Users/briantest/Code/alma/big-cubes/ryanCy11/uid___A001_X3788_X52ad/listobs/sessionsession_1__uid___A002_X1264cde_Xb4c8_targets.ms__listobs.txt
uid___A001_X3788_X52ad,uid___A002_X1264cde_Xbb82,"[CONT,CONT,CONT,WC]",4,3,864,6.05,47,43,12m,0.0010316588429752067,/Users/briantest/Code/alma/big-cubes/ryanCy11/uid___A001_X3788_X52ad/listobs/sessionsession_1__uid___A002_X1264cde_Xbb82_targets.ms__listobs.txt
uid___A001_X3788_X52ad,uid___A002_X1266d2b_X220e,"[CONT,CONT,CONT,WC]",4,3,864,6.05,47,43,12m,0.0010316588429752067,/Users/briantest/Code/alma/big-cubes/ryanCy11/uid___A001_X3788_X52ad/listobs/sessionsession_2__uid___A002_X1266d2b_X220e_targets.ms__listobs.txt
uid___A001_X3788_X52bb,uid___A002_X122494b_X4658,"[CONT,CONT,CONT,CONT]",4,4,512,2.02,45,43,12m,0.0018310336633663366,/Users/briantest/Code/alma/big-cubes/ryanCy11/uid___A001_X3788_X52bb/listobs/sessionsession_1__uid___A002_X122494b_X4658_targets.ms__listobs.txt
uid___A001_X3788_X52bb,uid___A002_X122494b_Xe679,"[CONT,CONT,CONT,CONT]",4,4,512,2.02,45,43,12m,0.0018310336633663366,/Users/briantest/Code/alma/big-cubes/ryanCy11/uid___A001_X3788_X52bb/listobs/sessionsession_4__uid___A002_X122494b_Xe679_targets.ms__listobs.txt
uid___A001_X3788_X52bb,uid___A002_X122494b_Xfb32,"[CONT,CONT,CONT,CONT]",4,4,512,2.02,45,43,12m,0.0018310336633663366,/Users/briantest/Code/alma/big-cubes/ryanCy11/uid___A001_X3788_X52bb/listobs/sessionsession_5__uid___A002_X122494b_Xfb32_targets.ms__listobs.txt
uid___A001_X3788_X52bf,uid___A002_X11e7adc_X129b,"[CONT,CONT,CONT,CONT]",4,4,512,2.02,43,43,12m,0.0018310336633663366,/Users/briantest/Code/alma/big-cubes/ryanCy11/uid___A001_X3788_X52bf/listobs/sessionsession_1__uid___A002_X11e7adc_X129b_targets.ms__listobs.txt
uid___A001_X3788_X52bf,uid___A002_X11e7adc_Xc83,"[CONT,CONT,CONT,CONT]",4,4,512,2.02,43,43,12m,0.0018310336633663366,/Users/briantest/Code/alma/big-cubes/ryanCy11/uid___A001_X3788_X52bf/listobs/sessionsession_1__uid___A002_X11e7adc_Xc83_targets.ms__listobs.txt
