resolution_combo,n_resolution_classes,is_mixed,eb_count,eb_fraction
COARSE,1,False,1458,0.26227738801942796
CONT,1,False,851,0.15308508724590753
MEDIUM,1,False,591,0.10631408526713437
FINE,1,False,73,0.01313185824788631
FINE + MEDIUM,2,True,1083,0.19481921208850514
CONT + COARSE,2,True,550,0.09893865803202015
CONT + MEDIUM,2,True,546,0.09821910415542363
MEDIUM + COARSE,2,True,207,0.0372369131138694
CONT + FINE,2,True,88,0.015830185285123224
FINE + COARSE,2,True,85,0.01529051987767584
CONT + MEDIUM + COARSE,3,True,14,0.0025184385680877856
CONT + FINE + COARSE,3,True,10,0.0017988846914912754
CONT + FINE + MEDIUM,3,True,2,0.0003597769382982551
FINE + MEDIUM + COARSE,3,True,1,0.00017988846914912754
