mous_uid,n_ebs,n_spws,setup_signature,setup_tokens,line_fraction_percent,is_fully_empty
uid___A001_X3788_X52a5,3,4,"[CONT,CONT,CONT,WC]",CONT CONT CONT WC,23.551122924444677,False
uid___A001_X3788_X52a9,3,4,"[CONT,CONT,CONT,WC]",CONT CONT CONT WC,15.514383994920518,False
uid___A001_X3788_X52ad,3,4,"[CONT,CONT,CONT,WC]",CONT CONT CONT WC,26.435723434921023,False
uid___A001_X3788_X52bb,3,4,"[CONT,CONT,CONT,CONT]",CONT CONT CONT CONT,16.58821969999962,False
uid___A001_X3788_X52bf,2,4,"[CONT,CONT,CONT,CONT]",CONT CONT CONT CONT,20.50172959624958,False
uid___A001_X3788_X52c3,3,4,"[CONT,CONT,CONT,CONT]",CONT CONT CONT CONT,29.09664043374996,False
uid___A001_X3788_X52ca,3,4,"[CONT,CONT,CONT,CONT]",CONT CONT CONT CONT,14.644775070000076,False
uid___A001_X3788_X52ce,3,8,"[CONT,CONT,CONT,CONT,CONT,CONT,CONT,CONT]",CONT CONT CONT CONT CONT CONT CONT CONT,16.28752599562607,False
uid___A001_X3788_X5344,2,4,"[CONT,CONT,WC,WC]",CONT CONT WC WC,16.123896621936233,False
uid___A001_X3788_X5348,3,4,"[CONT,CONT,WC,WC]",CONT CONT WC WC,12.19551643096786,False
uid___A001_X3788_X534c,2,4,"[CONT,CONT,WC,WC]",CONT CONT WC WC,18.44858018322577,False
uid___A001_X3788_X5354,2,4,"[CONT,CONT,WC,WC]",CONT CONT WC WC,19.05028285290311,False
uid___A001_X3788_X5360,2,4,"[CONT,CONT,WC,WC]",CONT CONT WC WC,26.904327538064475,False
uid___A001_X3788_X5364,2,4,"[CONT,CONT,WC,WC]",CONT CONT WC WC,24.697560416774234,False
uid___A001_X3788_X5368,3,4,"[CONT,CONT,WC,WC]",CONT CONT WC WC,20.2629284,False
uid___A001_X3788_X536c,2,4,"[CONT,CONT,WC,WC]",CONT CONT WC WC,13.808207594838592,False
uid___A001_X3788_X5379,1,4,"[MC,MC,MC,WC]",MC MC MC WC,25.33654744960026,False
uid___A001_X3788_X537d,1,4,"[MC,MC,MC,MC]",MC MC MC MC,19.566698949332682,False
uid___A001_X3788_X5381,3,4,"[MC,MC,MC,MC]",MC MC MC MC,43.53167259200033,False
uid___A001_X3788_X5385,1,4,"[MC,MC,MC,WC]",MC MC MC WC,32.99012318293294,False
uid___A001_X3788_X5389,1,4,"[MC,MC,MC,WC]",MC MC MC WC,15.002707609601563,False
uid___A001_X3788_X538d,1,4,"[MC,MC,MC,WC]",MC MC MC WC,24.16200196266797,False
uid___A001_X3788_X5391,1,4,"[MC,MC,MC,WC]",MC MC MC WC,48.00188090879557,False
uid___A001_X3788_X5395,1,4,"[MC,MC,MC,WC]",MC MC MC WC,25.00274901973177,False
uid___A001_X3788_X53e6,1,7,"[MF,NF,NF,NF,NF,WM,WM]",MF NF NF NF NF WM WM,34.85176288295898,False
uid___A001_X3788_X53e8,2,7,"[MF,NF,NF,NF,NF,WM,WM]",MF NF NF NF NF WM WM,15.093072123457906,False
uid___A001_X3788_X53ed,6,7,"[MF,NF,NF,NF,NF,WM,WM]",MF NF NF NF NF WM WM,58.438461733437194,False
uid___A001_X3788_X53ef,25,7,"[MF,NF,NF,NF,NF,WM,WM]",MF NF NF NF NF WM WM,51.54086917895961,False
uid___A001_X3788_X53f4,6,7,"[MF,NF,NF,NF,NF,WM,WM]",MF NF NF NF NF WM WM,61.8255061729295,False
uid___A001_X3788_X53f6,25,7,"[MF,NF,NF,NF,NF,WM,WM]",MF NF NF NF NF WM WM,59.868812903614106,False
uid___A001_X3788_X53fb,2,7,"[MF,NF,NF,NF,NF,WM,WM]",MF NF NF NF NF WM WM,63.81328193458743,False
uid___A001_X3788_X53fd,10,7,"[MF,NF,NF,NF,NF,WM,WM]",MF NF NF NF NF WM WM,56.86427330612127,False
uid___A001_X3788_X5402,3,7,"[MF,NF,NF,NF,NF,WM,WM]",MF NF NF NF NF WM WM,56.536584661986154,False
uid___A001_X3788_X5404,9,7,"[MF,NF,NF,NF,NF,WM,WM]",MF NF NF NF NF WM WM,50.089289776673965,False
uid___A001_X3788_X5409,2,7,"[MF,NF,NF,NF,NF,WM,WM]",MF NF NF NF NF WM WM,41.14250418830395,False
uid___A001_X3788_X5410,2,7,"[MF,NF,NF,NF,NF,WM,WM]",MF NF NF NF NF WM WM,62.133308256709455,False
uid___A001_X3788_X5412,5,7,"[MF,NF,NF,NF,NF,WM,WM]",MF NF NF NF NF WM WM,54.55477899354366,False
uid___A001_X3788_X5417,2,7,"[MF,NF,NF,NF,NF,WM,WM]",MF NF NF NF NF WM WM,67.24479288101284,False
uid___A001_X3788_X5419,5,7,"[MF,NF,NF,NF,NF,WM,WM]",MF NF NF NF NF WM WM,53.45678884538161,False
uid___A001_X3788_X541e,3,7,"[MF,NF,NF,NF,NF,WM,WM]",MF NF NF NF NF WM WM,61.89652218604502,False
uid___A001_X3788_X5420,5,7,"[MF,NF,NF,NF,NF,WM,WM]",MF NF NF NF NF WM WM,49.999393477516776,False
uid___A001_X3788_X5433,2,5,"[NF,NF,NF,NF,WM]",NF NF NF NF WM,14.915306869066043,False
uid___A001_X3788_X54c4,12,4,"[MC,MC,WC,WC]",MC MC WC WC,10.443468614401041,False
uid___A001_X3788_X54ca,14,4,"[MC,MC,WC,WC]",MC MC WC WC,9.93621989973405,False
uid___A001_X3788_X54d0,28,4,"[MC,MC,WC,WC]",MC MC WC WC,14.424291662933594,False
uid___A001_X3788_X54d6,15,4,"[MC,MC,WC,WC]",MC MC WC WC,8.824082122667317,False
uid___A001_X3788_X54dc,9,4,"[MC,MC,WC,WC]",MC MC WC WC,7.497383637333333,False
uid___A001_X3788_X54e2,7,4,"[MC,MC,WC,WC]",MC MC WC WC,14.66681562026595,False
uid___A001_X3788_X553c,7,4,"[CONT,MM,MM,MM]",CONT MM MM MM,21.334769222446887,False
uid___A001_X3788_X553e,22,4,"[CONT,MM,MM,MM]",CONT MM MM MM,17.826380942731284,False
uid___A001_X3788_X55f2,2,4,"[CONT,CONT,CONT,CONT]",CONT CONT CONT CONT,14.260114407499694,False
uid___A001_X3788_X55fa,1,4,"[CONT,CONT,CONT,CONT]",CONT CONT CONT CONT,13.283697550000191,False
uid___A001_X3788_X5615,3,4,"[CONT,CONT,CONT,WM]",CONT CONT CONT WM,20.691350565079365,False
uid___A001_X3788_X5619,5,4,"[CONT,CONT,CONT,WC]",CONT CONT CONT WC,19.33858113396771,False
uid___A001_X3788_X561d,7,6,"[CONT,CONT,CONT,CONT,WC,WC]",CONT CONT CONT CONT WC WC,nan,False
uid___A001_X3788_X5625,2,4,"[CONT,CONT,CONT,WC]",CONT CONT CONT WC,23.415467744761827,False
uid___A001_X3788_X5629,4,4,"[CONT,CONT,CONT,WC]",CONT CONT CONT WC,19.211032318730624,False
