mous_uid,spw_id,resolution_bucket,line_fraction_percent
uid___A001_X3788_X52a5,7,CONT,37.49159120000153
uid___A001_X3788_X52a5,19,CONT,14.05073715
uid___A001_X3788_X52a5,21,CONT,18.738841840000916
uid___A001_X3788_X52a5,23,COARSE,23.94813474666504
uid___A001_X3788_X52a9,7,CONT,14.050996745000457
uid___A001_X3788_X52a9,9,CONT,14.05079765
uid___A001_X3788_X52a9,11,CONT,14.05075915
uid___A001_X3788_X52a9,17,COARSE,20.197688997332357
uid___A001_X3788_X52ad,7,CONT,14.059372699999237
uid___A001_X3788_X52ad,19,CONT,14.840446755000306
uid___A001_X3788_X52ad,21,CONT,36.7162657300003
uid___A001_X3788_X52ad,23,COARSE,41.03954756266845
uid___A001_X3788_X52bb,7,CONT,14.830227459999085
uid___A001_X3788_X52bb,9,CONT,14.0486565
uid___A001_X3788_X52bb,15,CONT,23.425372989997864
uid___A001_X3788_X52bb,19,CONT,14.048621850001524
uid___A001_X3788_X52bf,17,CONT,14.837325540000151
uid___A001_X3788_X52bf,19,CONT,14.837299925
uid___A001_X3788_X52bf,21,CONT,14.837153319998169
uid___A001_X3788_X52bf,23,CONT,37.4951396
uid___A001_X3788_X52c3,17,CONT,28.1200849
uid___A001_X3788_X52c3,19,CONT,14.837901604999542
uid___A001_X3788_X52c3,21,CONT,59.37214338000031
uid___A001_X3788_X52c3,23,CONT,14.056431850000001
uid___A001_X3788_X52ca,7,CONT,14.058917849998473
uid___A001_X3788_X52ca,11,CONT,14.058674750001526
uid___A001_X3788_X52ca,15,CONT,14.058948644999694
uid___A001_X3788_X52ca,18,CONT,16.40255903500061
uid___A001_X3788_X52ce,17,CONT,14.822442679992676
uid___A001_X3788_X52ce,19,CONT,14.82219361500244
uid___A001_X3788_X52ce,21,CONT,14.822492275006102
uid___A001_X3788_X52ce,23,CONT,14.822144019995118
uid___A001_X3788_X52ce,25,CONT,16.385429940002442
uid___A001_X3788_X52ce,27,CONT,14.822095515002442
uid___A001_X3788_X52ce,29,CONT,24.981364
uid___A001_X3788_X52ce,31,CONT,14.822045920007323
uid___A001_X3788_X5344,21,CONT,14.838483665000915
uid___A001_X3788_X5344,23,CONT,14.838464045000457
uid___A001_X3788_X5344,25,COARSE,21.245249296000974
