setup_signature,mous_count,mous_percent,eb_count,eb_percent,eb_spw_count,eb_spw_percent,line_stat_mous_count,fully_empty_mous_count,fully_empty_mous_fraction,mean_line_fraction_percent,median_line_fraction_percent,stddev_line_fraction_percent,mean_eb_data_rate_gbps
"[WC,WC,WC,WC]",394,16.866438356164384,1047,18.834322719913654,4188,14.823204615439069,391,0,0.0,33.64680083710343,32.815119239999596,18.152288107729554,0.002297503051381819
"[CONT,CONT,CONT,CONT]",511,21.875,814,14.642921388738982,3256,11.524439882490356,511,0,0.0,21.404365000082265,17.76120413374977,10.141026521998972,0.0009797338652784197
"[WM,WM,WM,WM]",221,9.460616438356164,421,7.5733045511782695,1684,5.960428980993169,218,0,0.0,31.50460948179249,20.894788667998657,23.10693760224144,0.006876407939669641
"[CONT,CONT,CONT,WC]",147,6.292808219178082,228,4.101457096600108,912,3.2279757901815738,147,0,0.0,20.05420740237987,19.733681837461248,5.214347685989576,0.00159359387284183
"[CONT,MM,MM,MM,WM]",33,1.4126712328767124,209,3.7596690052167654,1045,3.6987222595830533,33,0,0.0,25.041599884361283,23.506037806354044,7.603642449241486,0.002300084836885602
"[MC,WC,WC,WC]",48,2.0547945205479454,164,2.9501708940456917,656,2.3218773227621847,48,0,0.0,20.68218598892054,16.03923353904762,11.531754633987704,0.00253235685714913
"[CONT,CONT,CONT,MC]",40,1.7123287671232876,154,2.770282424896564,616,2.180299437227905,40,0,0.0,21.029306937261232,18.740936108107995,8.159196530486389,0.0002560387261016539
"[MF,NF,NF,NF,NF,NF,NF,NF,NF,WM]",13,0.5565068493150684,124,2.2306170174491817,1240,4.388914451562666,13,0,0.0,41.64831010340489,28.960113337274127,27.978251020628196,0.0029923130898427087
"[MF,NF,NF,NF,NF,WM,WM]",18,0.7705479452054794,115,2.068717395214967,805,2.8492549463773758,18,0,0.0,51.44569416071794,55.54568182776491,13.42317773862646,0.005308521969098096
"[MC,MC,WC,WC]",15,0.6421232876712328,111,1.9967620075553156,444,1.5715145294305028,15,0,0.0,23.69156580406528,22.43106070755561,15.237764057228377,0.0006756838954657137
"[NF,NF,NF,NF,NF,NF,NF,WM]",26,1.1130136986301369,95,1.7089404569167117,760,2.6899798251513114,26,0,0.0,44.86865691736731,51.61301285434466,20.983622478919987,0.007272742862113963
"[CONT,CONT,CONT,WM]",21,0.898972602739726,86,1.5470408346824969,344,1.217569815594804,21,0,0.0,16.962496307743123,14.630819173332869,6.607601463642679,0.0005441921353065539
"[MF,MF,NF,NF,NF,NF,NF,NF,WM]",19,0.8133561643835616,76,1.3671523655333693,684,2.42098184263618,19,0,0.0,19.63067378152338,17.09489561662126,11.95607568552533,0.0004569917355371901
"[CONT,CONT,MM,MM]",21,0.898972602739726,73,1.313185824788631,292,1.0335185644002407,21,0,0.0,23.976879404606926,21.3945509266425,5.171131614898004,7.470458507868222e-05
"[CONT,MM,MM,MM]",6,0.2568493150684932,73,1.313185824788631,292,1.0335185644002407,6,0,0.0,16.7968012663785,16.39799254964029,2.468825133941147,0.002455082024227329
"[CONT,CONT,WC,WC]",34,1.4554794520547945,66,1.1872638963842417,264,0.934414044526245,34,0,0.0,25.701591927446305,25.050755447096794,8.122582530767637,0.0010438164387678436
"[NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,WM]",38,1.6267123287671232,65,1.169275049469329,845,2.9908328319116553,38,0,0.0,30.384409186845904,26.343616071304844,15.795699043990199,0.015526445148638242
"[CONT,CONT,MC,MC]",29,1.2414383561643836,65,1.169275049469329,260,0.920256255972817,29,0,0.0,28.653412277436903,27.119749121703062,6.574632971636476,0.0008746910668017852
"[MF,WM,WM,WM]",37,1.5839041095890412,60,1.0793308148947653,240,0.8494673132056773,37,0,0.0,24.208287394742868,12.195438096835497,26.716671370068315,0.007742744613370428
"[NF,NF,NF,NF,NF,NF,NF,NF,WM]",22,0.9417808219178082,59,1.0613419679798526,531,1.8794464304675609,22,0,0.0,26.60601493015682,20.349470686491685,13.794669460281156,0.011251807816220762
"[WC,WC,WC,WM]",22,0.9417808219178082,52,0.9354200395754632,208,0.7362050047782537,22,0,0.0,37.66226024812109,42.381184302665,14.414076856645035,0.0014274766687857599
"[MF,MF,MF,MF,WM]",17,0.7277397260273972,44,0.7915092642561612,220,0.7786783704385375,17,0,0.0,31.248165637271367,19.772723007997396,20.948243551611444,0.00045699173553719004
"[CONT,CONT,MM,MM,WM]",29,1.2414383561643836,42,0.7555315704263357,210,0.7432838990549676,29,0,0.0,12.411180945472951,12.302599512688095,2.2365449904570482,0.004890827107438016
"[MF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,WM]",26,1.1130136986301369,39,0.7015650296815974,468,1.6564612607510707,26,0,0.0,31.13286854620462,26.679612796199386,13.579246303137072,0.009170300826446282
"[CONT,CONT,CONT,CONT,CONT,CONT,CONT,CONT]",21,0.898972602739726,36,0.6475984889368591,276,0.9768874101865289,20,0,0.0,19.297580318806922,18.605057356562426,4.112288129732098,0.0029697289994365297
"[MM,NF,NF,NF]",6,0.2568493150684932,36,0.6475984889368591,144,0.5096803879234064,6,0,0.0,31.233087044306327,36.63756639605938,13.44753879252754,0.010098671074380165
"[MM,MM,MM,MM,MM,MM,MM,WM]",11,0.4708904109589041,34,0.6116207951070336,272,0.9627296216331009,11,0,0.0,22.36404666431108,16.095498111997767,12.867772145097293,0.0004569917355371901
